planet_name,mass,radius,orbital_period,semi_major_axis,eccentricity,star_teff,star_mass,star_radius,distance_pc,hz_inner_au,hz_outer_au,earth_sized,in_hz,habitability_label
EPIC 205084841 b,0.3883,1.561,11.310099,0.104,,5091.0,0.85,1.431,843.771,0.046586294345438706,0.10994365465523535,False,True,0
G 9-40 b,0.013,0.17,5.7459982,0.0418,0.0,3348.0,0.29,0.31,27.93,0.07083955331918412,0.16718134583327451,False,False,0
Gaia-1 b,1.68,1.229,3.042524,0.04047,,5370.0,0.93,0.962,368.3,0.04416588910849692,0.10423149829605273,True,False,0
Gaia-2 b,0.773,1.327,3.6915237,0.0467,0.346,5720.0,1.0,1.064,207.2,0.041463430858851125,0.09785369682688866,True,True,1
Gaia EDR3 2077240046296834304 b,,0.81,4.99671123,0.032,,4410.0,0.749,0.72,1000.0,0.05378023231578876,0.12692134826526147,True,False,0
GJ 1018 b,0.00843,0.1356,7.397225,0.0559,,3433.0,0.427,0.428,22.075,0.06908558826467476,0.1630419883046324,False,False,0
GJ 1132 b,0.00522,0.1035,1.628931,0.0154,0.0,3270.0,0.181,0.207,12.04,0.07252930413230228,0.17116915775223338,False,False,0
GJ 1214 b,0.02571,0.24463,1.580404497,0.01411,0.27,3026.0,0.15,0.216,13.0,0.07837766837826453,0.1849712973727043,False,False,0
GJ 1252 b,0.00415,0.1053,0.5182349,0.00916,,3458.0,0.381,0.391,20.38,0.06858612623268606,0.16186325790913914,False,False,0
GJ 143 b,0.0714,0.2329,35.61253,0.1932,0.188,4640.0,0.76,0.73,16.33,0.0511144018346182,0.12062998832969894,False,False,0
GJ 143 c,0.01164,0.07958,7.78993,0.0695,,4640.0,0.76,0.73,16.33,0.0511144018346182,0.12062998832969894,False,True,0
GJ 238 b,,0.0505,1.7446999,0.02123,,3485.0,0.42,0.566,15.216,0.06805475595771261,0.16060922406020176,False,False,0
GJ 3090 b,0.01051,0.19,2.8531054,0.03165,0.18,3556.0,0.519,0.516,22.444,0.0666959573995018,0.15740245946282427,False,False,0
GJ 341 b,0.00227,0.0821,7.576863,0.0608,,3745.0,0.522,0.525,10.454,0.0633299931942933,0.1494587839385322,False,False,0
GJ 3470 b,0.0437,0.38826,3.336649,0.03557,0.019,3652.0,0.51,0.48,30.7,0.06494272303193549,0.15326482635536776,False,False,0
GJ 3473 Ab,0.00585,0.11277,1.1980035,0.01589,0.0,3347.0,0.36,0.364,27.39,0.07086071840831444,0.16723129544362209,False,False,0
GJ 357 b,0.006566,0.10411,3.93086,0.033,0.047,3505.0,0.342,0.337,9.444,0.06766642639447316,0.15969276629095666,False,False,0
GJ 367  b,0.001718,0.0526,0.3219225,0.0069,0.1,3522.0,0.454,0.457,9.41,0.06733981388774232,0.15892196077507187,False,False,0
GJ 3929 b,0.00381,0.1026,2.6162745,0.02569,,3369.0,0.309,0.35,15.83,0.07039798887284904,0.16613925373992375,False,False,0
GJ 414 Ab,,0.2632,50.817,0.24,0.48,4120.0,0.65,0.68,11.893,0.057565734105006906,0.1358551324878163,False,False,0
GJ 414 Ac,,0.7833,748.3,1.43,0.093,4120.0,0.65,0.68,11.893,0.057565734105006906,0.1358551324878163,False,False,0
GJ 436 b,0.05836,0.32519,2.64394,0.02887,0.1912,3684.0,0.452,0.464,10.2,0.06437861686010543,0.15193353578984883,False,False,0
GJ 486 b,0.00887,0.11643,1.467119,0.01734,0.05,3340.0,0.323,0.328,8.0761,0.07100922889599655,0.16758178019455183,False,False,0
GJ 504  b,4.0,0.96,,43.5,,6291.0,1.22,,17.56,0.03770001979218383,0.08897204670955383,True,False,0
GJ 674 b,,1.13,4.6944,0.039,0.07,3600.0,0.35,,4.54,0.06588078458684124,0.1554786516249453,True,False,0
GJ 9827 b,0.01532,0.13641,1.2089765,0.01866,0.0,4255.0,0.659,0.651,30.3,0.05573932420978342,0.13154480513508887,False,False,0
GJ 9827 c,0.00604,0.107,3.648086,0.03896,,4255.0,0.659,0.651,30.3,0.05573932420978342,0.13154480513508887,False,False,0
GJ 9827 d,0.01076,0.17441,6.20183,0.0555,0.0,4255.0,0.659,0.651,30.3,0.05573932420978342,0.13154480513508887,False,False,0
Gliese 12 b,0.00223,0.08065,12.761416,0.066,0.16,3253.0,0.241,0.269,12.162,0.07290833830698693,0.17206367840448913,False,False,0
HAT-P-10 Ab,0.46,1.045,3.722469,0.0439,0.0,4980.0,0.82,0.81,125.0,0.0476246635567527,0.11239420599393636,True,False,0
HAT-P-11 b,0.0736,0.389,4.887802443,0.053,0.265,4780.0,0.809,0.683,37.89,0.04961732730389716,0.1170968924371973,False,True,0
HAT-P-12 b,0.210489884529,0.949,3.2130598,0.0384,0.0,4650.0,0.73,0.7,142.5,0.05100447838981257,0.12037056899995766,True,False,0
HAT-P-13 b,0.9,1.44,2.916415,0.045,0.0142,5638.0,1.22,1.56,214.0,0.04206648182203413,0.09927689710000055,True,True,1
HAT-P-14 Ab,2.444,1.01,4.627686,0.0606,0.095,6600.0,1.386,1.468,205.0,0.035934973411004316,0.08480653724997018,True,True,1
HAT-P-15 b,1.946,1.072,10.863502,0.0964,0.19,5568.0,1.013,1.08,190.0,0.042595334862181825,0.10052499027474912,True,True,1
HAT-P-16 Ab,4.193,1.289,2.77596,0.0413,0.036,6158.0,1.218,1.237,235.0,0.03851426185654895,0.09089365798145552,True,True,1
HAT-P-17 b,0.571,0.98,10.3385308,0.0828,0.346,5246.0,0.857,0.837,90.0,0.045209840738205956,0.10669522414216606,True,True,1
HAT-P-18 Ab,0.183,0.947,5.508029,0.0559,0.106,4870.0,0.77,0.717,166.0,0.048700374643250194,0.11493288415807046,True,True,1
HAT-P-19 b,0.292,1.132,4.008784,0.0466,0.067,4990.0,0.842,0.82,215.0,0.04752922334922414,0.11216896710416896,True,False,0
HAT-P-1 Bb,0.525,1.319,4.46529976,0.05561,0.067,5980.0,1.151,1.174,139.0,0.039660672995422815,0.09359918826919784,True,True,1
HAT-P-20 Ab,7.246,0.867,2.875317,0.0361,0.015,4595.0,0.756,0.694,70.0,0.05161497813114874,0.12181134838951102,True,False,0
HAT-P-21 b,4.063,1.024,4.124461,0.0494,0.228,5588.0,0.947,1.105,254.0,0.04244288198150115,0.10016520147634272,True,True,1
HAT-P-22 Ab,2.147,1.08,3.21222,0.0414,0.016,5302.0,0.916,1.04,82.0,0.04473233204689333,0.10556830363066826,True,False,0
